index	text	entity_category	image_id	person	location	organization	miscellaneous	image_caption	no_image	image_caption_ofa_large
139	i rted this and got vip vamps tickets and harry styles tickets ☺ ️ RT FOR GOOD LUCK	[('vamps', 'person'), ('harry styles', 'person')]	O_164.jpg	['vamps', 'harry styles']	[]	[]	[]		No	a screenshot of a concert stage with the words rit in 5 seconds on twitter
3228	zac posen literally made a dress that looks like it was inspired from cinderella I ' m obsessed	[('zac posen', 'person')]	O_4528.jpg	['zac posen']	[]	[]	[]		No	actors attend the costume institute gala
1050	Harry Styles tipped for Hollywood success for is performance in war epic Dunkirk	[('Harry Styles', 'person'), ('Hollywood', 'organization'), ('Dunkirk', 'miscellaneous')]	O_4494.jpg	['Harry Styles']	[]	['Hollywood']	['Dunkirk']		No	a man in a trench coat holding a cup of coffee and a soldier sitting behind
3350	Can ' t wait to dance it up at prom and a Panic ! concert w / you 😊 💕	[]	16_05_05_225.jpg	[]	[]	[]	[]		No	a man and woman holding a prom sign and flowers
3158	# IHopeThereAreTapesOf Donald Trump , Jr . explaining the thrill he gets killing baby elephants	[('Donald Trump', 'person')]	O_4061.jpg	['Donald Trump']	[]	[]	[]		No	a man holding an animal in a field
214	It ' s official ! Shah Rukh Khan ' s film with Aanand Rai to have Hobbit - like VFX ! @ iamsrk	[('Shah Rukh Khan', 'person'), ('Aanand Rai', 'person'), ('iamsrk', 'person')]	O_3664.jpg	['Shah Rukh Khan', 'Aanand Rai', 'iamsrk']	[]	[]	[]		No	a man in a tuxedo is sitting on a chair
3283	the floor is any type of one piece media	[]	O_2954.jpg	[]	[]	[]	[]		No	a man jumping over a wall in a hallway
2946	Justin Trudeau Reached Peak Justin Trudeau at Toronto Pride Parade	[('Justin Trudeau', 'person'), ('Justin Trudeau', 'person'), ('Toronto', 'location')]	17_06_2719.jpg	['Justin Trudeau', 'Justin Trudeau']	['Toronto']	[]	[]		No	a group of people marching in a parade with rainbow flags
2880	Splash Brothers Curry , Thompson send Warriors to West finals # nba	[('Splash Brothers', 'person'), ('Curry', 'person'), ('Thompson', 'person'), ('Warriors', 'organization')]	16_05_12_187.jpg	['Splash Brothers', 'Curry', 'Thompson']	[]	['Warriors']	[]		No	american football player celebrates with his trophy after defeating american football team in a
763	You know what ? Maybe Donald trump could make a great presi . . .	[('Donald trump', 'person')]	O_3501.jpg	['Donald trump']	[]	[]	[]		Yes	the windshield of a car parked in a parking lot
2468	Such an honor to meet @ VP Joe Biden today ! Nice to meet such an amazing champion for the cause . # race4hope	[('Joe Biden', 'person')]	O_1317.jpg	['Joe Biden']	[]	[]	[]		No	two men standing next to each other posing for a picture
