text	entity_category	image_id	person	location	organization	miscellaneous
New Post : Blackburn Festival of Voice 2017	[('Blackburn Festival of Voice', 'miscellaneous')]	17_06_12483.jpg	[]	[]	[]	['Blackburn Festival of Voice']
# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards	[('NBA', 'organization'), ('Kawhi Leonard', 'person'), ('NBAAwards', 'miscellaneous')]	17_06_2932.jpg	['Kawhi Leonard']	[]	['NBA']	['NBAAwards']
Justin Bieber , Rich the Kid and Diplo have a banger on the way :	[('Justin Bieber', 'person'), ('Rich the Kid', 'person'), ('Diplo', 'person')]	O_1926.jpg	['Justin Bieber', 'Rich the Kid', 'Diplo']	[]	[]	[]
New Event : French Quarter Festival 2020	[('French Quarter Festival', 'miscellaneous')]	16_05_24_704.jpg	[]	[]	[]	['French Quarter Festival']
Eric Nam announces concert dates for Atlanta and NYC !	[('Eric Nam', 'person'), ('Atlanta', 'location'), ('NYC', 'location')]	17_06_12486.jpg	['Eric Nam']	['Atlanta', 'NYC']	[]	[]
Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan	[('Rough Riders', 'organization'), ('Degan', 'organization')]	16_05_23_627.jpg	[]	[]	['Rough Riders', 'Degan']	[]
People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork	[('KeyArena', 'location'), ('Seattle', 'location')]	16_05_28_123.jpg	[]	['KeyArena', 'Seattle']	[]	[]
If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶	[('SHS', 'organization')]	16_05_05_133.jpg	[]	[]	['SHS']	[]
@ hannuhnell after the rihanna concert	[('hannuhnell', 'person'), ('rihanna', 'person')]	16_05_17_498.jpg	['hannuhnell', 'rihanna']	[]	[]	[]
I have a number of events planed , charity football , 20 / 20 cricket , golf day , number charity evenings can you help	[]	16_05_10_969.jpg	[]	[]	[]	[]
Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA	[('Cavs', 'organization'), ('Warriors', 'organization'), ('Cavaliers', 'organization'), ('NBA', 'organization')]	17_06_7980.jpg	[]	[]	['Cavs', 'Warriors', 'Cavaliers', 'NBA']	[]
which should i wear to my soccer banquet xx	[]	17_06_11757.jpg	[]	[]	[]	[]
The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here	[('James Franco', 'person'), ('Mother , May I Sleep with Danger', 'miscellaneous')]	O_3127.jpg	['James Franco']	[]	[]	['Mother , May I Sleep with Danger']
48 years ago today we won our very first @ Bundesliga_EN title !	[('Bundesliga_EN', 'organization')]	17_06_1239.jpg	[]	[]	['Bundesliga_EN']	[]
Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals	[('warriors', 'organization'), ('Erik', 'person')]	17_06_13987.jpg	['Erik']	[]	['warriors']	[]
Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG	[('ETSUFootball', 'organization')]	17_06_1237.jpg	[]	[]	['ETSUFootball']	[]
Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer .	[('pizzaportCbad', 'location'), ('FirestoneWalker', 'organization'), ('GreenFlashBeer', 'organization')]	16_05_28_46.jpg	[]	['pizzaportCbad']	['FirestoneWalker', 'GreenFlashBeer']	[]
Bill of Rights 200 th Anniversary First Day of Issue Cover # 2421	[]	O_2548.jpg	[]	[]	[]	[]
From Pride Parade in Paris , 2015 . # dogsofpride	[('Paris', 'location')]	17_06_5383.jpg	[]	['Paris']	[]	[]
Marc Chagall - 1944 , The House with the Green Eye	[('Marc Chagall', 'person'), ('The House with the Green Eye', 'miscellaneous')]	O_2369.jpg	['Marc Chagall']	[]	[]	['The House with the Green Eye']
Canadian women ’ s soccer team takes different approach to Rio 2016 after World Cup	[('Canadian', 'location'), ('Rio', 'location')]	16_05_31_538.jpg	[]	['Canadian', 'Rio']	[]	[]
Jennifer Lawrence ; James McAvoy talk # XMenApocalypse , crack each other up :	[('Jennifer Lawrence', 'person'), ('James McAvoy', 'person'), ('XMenApocalypse', 'miscellaneous')]	O_1634.jpg	['Jennifer Lawrence', 'James McAvoy']	[]	[]	['XMenApocalypse']
# hot women and big trucks naked anne hathaway sex scne	[]	O_1478.jpg	[]	[]	[]	[]
British teams take home five of the ten biggest total sponsorship hauls in world soccer	[('British', 'location')]	16_05_14_1167.jpg	[]	['British']	[]	[]
Donald Trump : Stop Harming Low - Income Americans , Now ! - Sign the Petition !	[('Donald Trump', 'person')]	O_3129.jpg	['Donald Trump']	[]	[]	[]
Sergio Ramos : Real Madrid as motivated as two years ago -	[('Sergio Ramos', 'person'), ('Real Madrid', 'organization')]	O_2762.jpg	['Sergio Ramos']	[]	['Real Madrid']	[]
