index	text	entity_category	image_id	person	location	organization	miscellaneous	image_caption	no_image	image_caption_ofa_large
1199	Charlie is decidedly not excited about @ ussoccer_ynt at 4 am . # U20WC	[('Charlie', 'person'), ('ussoccer_ynt', 'organization')]	17_06_14969.jpg	['Charlie']	[]	['ussoccer_ynt']	[]		No	a black dog laying on a red couch
3134	# Hermione Granger from # Harry Potter 💕 Reference from the Yule Ball scene 😊	[('Hermione Granger', 'person'), ('Harry Potter', 'miscellaneous')]	O_2313.jpg	['Hermione Granger']	[]	[]	['Harry Potter']		No	a portrait of a woman with curly hair in a pink dress
139	i rted this and got vip vamps tickets and harry styles tickets ☺ ️ RT FOR GOOD LUCK	[('vamps', 'person'), ('harry styles', 'person')]	O_164.jpg	['vamps', 'harry styles']	[]	[]	[]		No	a screenshot of a concert stage with the words rit in 5 seconds on twitter
1048	Um . . . does Donald Trump think the Paris Accord . . . is actually about Paris ?	[('Donald Trump', 'person'), ('Paris', 'location'), ('Paris', 'location')]	O_1246.jpg	['Donald Trump']	['Paris', 'Paris']	[]	[]		No	a screenshot of a tweet with a bunch of pictures of different dogs
621	What Is Kim Kardashian Doing In A Jane Austen Novel … :	[('Kim Kardashian', 'person'), ('Jane Austen', 'person')]	O_4733.jpg	['Kim Kardashian', 'Jane Austen']	[]	[]	[]		No	two women and a man walking with umbrellas in a garden
2158	This rainy Monday we ' re reminiscing about a rainy day in # Bath when we took a tour of the famous @ RomanBathsBath	[('RomanBathsBath', 'location')]	16_05_02_767.jpg	[]	['RomanBathsBath']	[]	[]		No	the roman baths in the city of bath uk
2212	Arrived in Birmingham to see Ryo and Austin play tonight for @ BhamHammers ! @ NPSLSoccer	[('Birmingham', 'location'), ('Ryo', 'person'), ('Austin', 'person'), ('BhamHammers', 'organization')]	17_06_5878.jpg	['Ryo', 'Austin']	['Birmingham']	['BhamHammers']	[]		No	the dashboard of a car with a navigation screen
2283	"DID YOU KNOW ? Palestinian Sirhan Sirhan assassinated Robert F . Kennedy in 1968 because he "" supported # Israel """	[('Sirhan Sirhan', 'person'), ('Robert F . Kennedy', 'person'), ('Israel', 'location')]	O_949.jpg	['Sirhan Sirhan', 'Robert F . Kennedy']	['Israel']	[]	[]		No	a black and white photo of two men sitting on the ground
1020	Fans Turn On Lauryn Hill After Showing Up To A Concert Two Hours Late	[('Lauryn Hill', 'person')]	16_05_07_642.jpg	['Lauryn Hill']	[]	[]	[]		No	a woman wearing a hat and a purple shirt is raising her hand
2771	Happy Sunday # simonbaker # thementalist # bakermadness	[]	16_05_01_595.jpg	[]	[]	[]	[]		No	a man is holding a can of coke and another man is laughing
